scene,variant,threshold,smooth_sigma,close_iters,open_iters,min_component_voxels,shape,alpha_max,alpha_mean,source_alpha_mean,source_alpha_p95,occupied_voxels,occupied_ratio,raw_reference_recall,raw_reference_precision,raw_reference_iou,shell_voxels,shell_ratio_total,shell_ratio_occupied,interior_ratio_occupied,sdf_inside_abs_p50,sdf_inside_abs_p90,sdf_outside_near_abs_p50,sdf_outside_near_abs_p90,shell_grad_mag_mean,shell_grad_mag_p95,component_count,largest_component_fraction,top5_component_fraction,small_component_fraction,removed_component_voxels
3dfront_0003_00,smooth100_thr001,0.01,1.0,0,0,0,112x160x93,1.0,0.06531714648008347,0.06531714648008347,0.3658049568533892,682356,0.40943980414746545,0.9955301535839228,0.7344011044088423,0.7319874497156028,228269,0.1369701660906298,0.3345306555522337,0.6654693444477663,3.0,7.0,6.082762718200684,16.0,0.043403010815382004,0.1353166490793226,67,0.998972677019034,0.9993317271336369,0.0,0
3dfront_0003_00,smooth100_thr002,0.02,1.0,0,0,0,112x160x93,1.0,0.06531714648008347,0.06531714648008347,0.3658049568533892,608677,0.36522957469278033,0.9753622065545828,0.8066199314250415,0.7905129621191507,224664,0.1348070276497696,0.3691021674878466,0.6308978325121535,3.0,6.164413928985596,6.082762718200684,16.0,0.05212916433811188,0.1502082817256448,54,0.9992508341862761,0.9995367000888813,0.0,0
3dfront_0003_00,smooth100_thr001_min64,0.01,1.0,0,0,64,112x160x93,1.0,0.06531714648008347,0.06531714648008347,0.3658049568533892,681837,0.40912838421658987,0.9947077018433647,0.7343529318590807,0.7314949138131281,227750,0.13665874615975424,0.33402411426777956,0.6659758857322204,3.0,7.0,6.164413928985596,16.0,0.04348306357860565,0.13540066033601753,67,0.998972677019034,0.9993317271336369,0.0007606000386894817,519
3dfront_0003_00,smooth100_thr001_min256,0.01,1.0,0,0,256,112x160x93,1.0,0.06531714648008347,0.06531714648008347,0.3658049568533892,681655,0.40901917722734255,0.9945428141755716,0.7344272395860075,0.7314794521348564,227576,0.13655433947772658,0.3338580366901145,0.6661419633098855,3.0,7.0,6.324555397033691,16.0,0.04349982738494873,0.13543657213449478,67,0.998972677019034,0.9993317271336369,0.0010273229809659474,701
3dfront_0003_00,smooth100_thr001_close1_min64,0.01,1.0,1,0,64,112x160x93,1.0,0.06531714648008347,0.06531714648008347,0.3658049568533892,634071,0.3804669498847926,0.8870916795298913,0.7042397460221331,0.6463078913774087,198697,0.119225830453149,0.31336711503916753,0.6866328849608325,2.2360680103302,5.385164737701416,5.916079998016357,16.0,0.04331575334072113,0.13909490704536434,27,0.9993851266875513,0.9997635102644428,0.0003247792368318574,206
3dfront_1007_00,raw_thr001,0.01,0.0,0,0,0,160x120x73,1.0,0.09357252717018127,0.09357252717018127,0.6086164116859439,404217,0.2883968321917808,1.0,1.0,1.0,302452,0.21579052511415525,0.748241662275461,0.25175833772453904,1.4142135381698608,2.4494898319244385,5.099019527435303,16.0,0.21279677748680115,0.50959332883358,206,0.9929988100450995,0.9990277499461923,0.0,0
3dfront_1007_00,smooth075_thr001,0.01,0.75,0,0,0,160x120x73,1.0,0.09357252717018127,0.0935724675655365,0.5118205666542054,570885,0.40730950342465755,0.9993369897851896,0.7075838391269695,0.7072518221912517,217298,0.15503567351598174,0.3806335776907784,0.6193664223092217,2.8284270763397217,5.830951690673828,6.164413928985596,16.0,0.08622629195451736,0.22517071813344955,31,0.9917111151983324,0.9998020617112028,0.0,0
3dfront_1007_00,smooth100_thr001,0.01,1.0,0,0,0,160x120x73,1.0,0.09357252717018127,0.09357251226902008,0.4810086235404016,612167,0.4367629851598174,0.9991143371011115,0.6597203050801497,0.6593347210317946,196842,0.14044092465753424,0.3215495118162201,0.6784504881837798,3.1622776985168457,7.0,6.4031243324279785,16.0,0.06166616454720497,0.16000097170472127,7,0.9920348532344933,0.999985298129432,0.0,0
3dfront_1007_00,smooth100_thr002,0.02,1.0,0,0,0,160x120x73,1.0,0.09357252717018127,0.09357251226902008,0.4810086235404016,566353,0.40407605593607304,0.995643429148205,0.7106098140205843,0.7084071154733029,204150,0.14565496575342465,0.36046423343744977,0.6395357665625503,3.0,6.082762718200684,6.4031243324279785,16.0,0.07295335829257965,0.17072477787733073,17,0.9924128591179,0.9998993560553224,0.0,0
3dfront_1007_00,smooth100_thr001_min64,0.01,1.0,0,0,64,160x120x73,1.0,0.09357252717018127,0.09357251226902008,0.4810086235404016,612092,0.4367094748858448,0.999059910889448,0.6597651986956209,0.6593558562677151,196767,0.14038741438356164,0.3214663808708495,0.6785336191291504,3.1622776985168457,7.0,6.4031243324279785,16.0,0.06168483570218086,0.16001583784818646,7,0.9920348532344933,0.999985298129432,0.000122515588066655,75
