scene,threshold,shape,slice_axis,slice_index,alpha_max,alpha_mean,occupied_voxels,occupied_ratio,component_count,shell_voxels,shell_ratio_total,shell_ratio_occupied,grad_mag_mean,grad_mag_p95,dist_mean,dist_p50,dist_p90,dist_p99
3dfront_0033_01,0.05,120x160x115,2,105,1.0,0.10593751072883606,730167,0.33069157608695654,547,392040,0.17755434782608695,0.5369182666431104,0.062448710203170776,0.3146825864911079,5.359818935394287,2.8284270763397217,16.0,16.0
3dfront_0033_01,0.1,120x160x115,2,106,1.0,0.10593751072883606,574805,0.26032835144927535,877,381044,0.17257427536231884,0.6629100303581215,0.062448710203170776,0.3146825864911079,5.7969536781311035,3.1622776985168457,16.0,16.0
3dfront_0012_00,0.01,136x160x124,2,103,1.0,0.09826388210058212,1094434,0.40561032376660344,633,650915,0.24123688033681215,0.5947503458408638,0.07245103269815445,0.32952830642461706,3.519958257675171,1.4142135381698608,11.575837135314941,16.0
3dfront_0012_00,0.05,136x160x124,2,103,1.0,0.09826388210058212,962100,0.35656576138519924,811,670441,0.24847344935958254,0.6968516786196861,0.07245103269815445,0.32952830642461706,3.662099838256836,1.4142135381698608,12.165525436401367,16.0
3dfront_0012_00,0.1,136x160x124,2,103,1.0,0.09826388210058212,711114,0.2635473493833017,1269,576556,0.21367854601518027,0.8107785812120138,0.07245103269815445,0.32952830642461706,4.134743690490723,2.0,13.266499519348145,16.0
3dfront_1001_01,0.01,138x160x100,2,98,1.0,0.0718272477388382,645783,0.29247418478260867,409,394205,0.1785348731884058,0.610429509603071,0.048874322324991226,0.2653551205992698,4.6585693359375,2.2360680103302,14.352700233459473,16.0
3dfront_1001_01,0.05,138x160x100,2,98,1.0,0.0718272477388382,577591,0.2615901268115942,375,389822,0.17654981884057971,0.6749101007460296,0.048874322324991226,0.2653551205992698,4.89101505279541,2.4494898319244385,15.066518783569336,16.0
3dfront_1001_01,0.1,138x160x100,2,26,1.0,0.0718272477388382,415626,0.18823641304347827,672,318892,0.14442572463768116,0.7672571013362975,0.048874322324991226,0.2653551205992698,5.570057392120361,3.316624879837036,16.0,16.0
3dfront_0063_01,0.01,105x160x67,2,2,1.0,0.07202145457267761,246964,0.21940653873489693,296,201406,0.17893212508884151,0.8155277692295233,0.06090063229203224,0.3619812667369843,5.499927997589111,3.7416574954986572,14.628738403320312,16.0
3dfront_0063_01,0.05,105x160x67,2,2,1.0,0.07202145457267761,233612,0.20754442075337598,296,195134,0.1733599857853589,0.8352909953255826,0.06090063229203224,0.3619812667369843,5.660725116729736,4.123105525970459,15.0,16.0
3dfront_0063_01,0.1,105x160x67,2,2,1.0,0.07202145457267761,194299,0.1726181592039801,371,170045,0.15107054015636104,0.8751717713421068,0.06090063229203224,0.3619812667369843,6.13238525390625,4.582575798034668,15.842979431152344,16.0
3dfront_0069_00,0.01,160x99x63,2,0,1.0,0.0666806548833847,207823,0.20825617283950618,220,160951,0.1612864758698092,0.7744619219239449,0.057658206671476364,0.3516055792570108,5.3153977394104,3.605551242828369,14.03566837310791,16.0
3dfront_0069_00,0.05,160x99x63,2,0,1.0,0.0666806548833847,194513,0.194918430335097,233,157068,0.1573953823953824,0.8074935865469146,0.057658206671476364,0.3516055792570108,5.423737049102783,3.7416574954986572,14.142135620117188,16.0
3dfront_0069_00,0.1,160x99x63,2,0,1.0,0.0666806548833847,161927,0.16226451018117685,383,139241,0.1395312249478916,0.8598998314055099,0.057658206671476364,0.3516055792570108,5.788761138916016,4.242640495300293,14.628738403320312,16.0
3dfront_0136_00,0.01,160x112x98,2,2,1.0,0.08080269396305084,619319,0.35265522503644314,451,436474,0.24853885750728863,0.7047644267332344,0.06364951282739639,0.3141670569777486,4.224191188812256,1.4142135381698608,14.247806549072266,16.0
3dfront_0136_00,0.05,160x112x98,2,2,1.0,0.08080269396305084,560061,0.31891228589650145,467,425478,0.24227746902332362,0.7596993898878872,0.06364951282739639,0.3141670569777486,4.337470531463623,1.7320507764816284,14.456831932067871,16.0
3dfront_0136_00,0.1,160x112x98,2,2,1.0,0.08080269396305084,400189,0.22787730047376092,935,338868,0.192959639212828,0.8467699012216727,0.06364951282739639,0.3141670569777486,4.712037563323975,2.2360680103302,15.165750503540039,16.0
3dfront_1003_00,0.01,160x130x93,2,92,1.0,0.11311543732881546,634291,0.32790064102564104,293,432854,0.22376654259718776,0.6824217906292223,0.08116969466209412,0.4228459343314168,4.780173301696777,2.2360680103302,15.066518783569336,16.0
3dfront_1003_00,0.05,160x130x93,2,92,1.0,0.11311543732881546,587986,0.3039629859387924,242,432400,0.22353184449958644,0.7353916589850779,0.08116969466209412,0.4228459343314168,4.960417747497559,2.2360680103302,15.588457107543945,16.0
3dfront_1003_00,0.1,160x130x93,2,92,1.0,0.11311543732881546,484444,0.25043631100082714,464,387567,0.2003551488833747,0.8000243578205117,0.08116969466209412,0.4228459343314168,5.282510757446289,3.0,16.0,16.0
3dfront_0087_00,0.01,160x145x111,2,100,1.0,0.092921681702137,784702,0.30471497359428396,415,507409,0.19703673501087293,0.6466263626191854,0.0645306184887886,0.3543281823396682,5.796025276184082,3.0,16.0,16.0
3dfront_0087_00,0.05,160x145x111,2,99,1.0,0.092921681702137,726707,0.2821943926685306,419,513608,0.199443926685306,0.7067607715351579,0.0645306184887886,0.3543281823396682,5.970483303070068,3.1622776985168457,16.0,16.0
3dfront_0087_00,0.1,160x145x111,2,3,1.0,0.092921681702137,569686,0.2212200994097546,789,454332,0.17642590866728797,0.7975130159421154,0.0645306184887886,0.3543281823396682,6.356936931610107,4.123105525970459,16.0,16.0
3dfront_0003_01,0.01,160x153x150,2,4,1.0,0.1022024154663086,1265440,0.34461873638344226,335,734888,0.20013289760348585,0.5807371349095967,0.06742975115776062,0.35426033735275264,4.876546382904053,2.2360680103302,14.764822959899902,16.0
3dfront_0003_01,0.05,160x153x150,2,4,1.0,0.1022024154663086,1149266,0.3129809368191721,537,765229,0.208395697167756,0.6658415023153909,0.06742975115776062,0.35426033735275264,4.960916996002197,2.4494898319244385,15.0,16.0
3dfront_0003_01,0.1,160x153x150,2,4,1.0,0.1022024154663086,866330,0.23592864923747275,1525,659378,0.17956917211328977,0.7611164336915494,0.06742975115776062,0.35426033735275264,5.259378910064697,3.0,15.42724895477295,16.0
3dfront_1013_00,0.01,142x160x147,2,1,1.0,0.08529650419950485,1205880,0.36105921241736133,1858,956214,0.2863053319919517,0.792959498457558,0.08436416834592819,0.38348486572504037,2.545283794403076,1.0,7.348469257354736,16.0
3dfront_1013_00,0.05,142x160x147,2,1,1.0,0.08529650419950485,951617,0.28492891875059884,2301,834897,0.24998113682092554,0.8773456127832941,0.08436416834592819,0.38348486572504037,2.8390886783599854,1.4142135381698608,8.185352325439453,16.0
3dfront_1013_00,0.1,142x160x147,2,4,1.0,0.08529650419950485,723155,0.21652384545367442,3054,667679,0.19991346890869024,0.9232861558033894,0.08436416834592819,0.38348486572504037,3.2317404747009277,1.7320507764816284,9.273618698120117,16.0
3dfront_1005_01,0.01,132x160x126,2,0,1.0,0.06285572797060013,790782,0.2971613455988456,1093,400053,0.15033256673881673,0.5058954300932494,0.04008352383971214,0.22436215206980664,5.679896831512451,3.1622776985168457,16.0,16.0
3dfront_1005_01,0.05,132x160x126,2,0,1.0,0.06285572797060013,710462,0.2669785654160654,730,418752,0.15735930735930737,0.5894080190073502,0.04008352383971214,0.22436215206980664,6.375872611999512,4.123105525970459,16.0,16.0
3dfront_1005_01,0.1,132x160x126,2,0,1.0,0.06285572797060013,468142,0.17591916185666184,1372,351391,0.13204628126503126,0.7506077215887487,0.04008352383971214,0.22436215206980664,7.03699254989624,5.196152210235596,16.0,16.0
